"code","aliases","name","description","timezone","country","useAliases","excludeFromSearch","latitude","longitude","m2iorigin"
"ABE","","Allentown, PA","","EST","",0,0,40.6524,-75.4404,0
"ABQ","","Albuquerque, NM","","MST","",0,0,35.0402,-106.609,0
"ACA","","Acapulco","","CST","Mexico",0,0,0,0,0
"ACY","","Atlantic City, NJ","","EST","USA",0,0,39.4576,-74.5772,0
"ALB","","Albany, NY","","EST","USA",0,0,42.7491,-73.802,0
"AMA","","Amarillo, TX","","CST","USA",0,0,35.2194,-101.706,0
"ANC","","Anchorage, AK","","America/Anchorage","USA",0,0,61.1744,-149.996,0
"ANU","","Antigua","","America/Antigua","",0,0,0,0,0
"ATL","","Atlanta, GA","","EST","USA",0,0,33.6367,-84.4281,1
"AUA","","Aruba","island on caribbean","America/Aruba","",0,0,0,0,0
"AUG","","Augusta, ME","","EST","USA",0,0,44.3206,-69.7973,0
"AUS","","Austin, TX","","CST","",0,0,30.1945,-97.6699,0
"AVL","","Asheville, NC","","EST","USA",0,0,35.4362,-82.5418,0
"AVP","","Scranton, PA","","EST","USA",0,0,41.3385,-75.7234,0
"AXA","","Anguilla","","America/Anguilla","",0,0,0,0,0
"AZO","","Kalamazoo, MI","","EST","USA",0,0,42.2344,-85.5516,0
"AZS","","Samana","","GMT-04:00","",0,0,0,0,0
"BBQ","","Barbuda","","AST","",0,0,0,0,0
"BDA","","Bermuda","","Atlantic/Bermuda","",0,0,0,0,0
"BDL","","Hartford, CT","","EST","United States",0,0,41.9389,-72.6832,1
"BFL","","Bakersfield, CA","","PST","",0,0,35.4339,-119.058,0
"BGI","","Barbados","","America/Barbados","",0,0,0,0,0
"BHM","","Birmingham, AL","","CST","",0,0,33.5639,-86.7523,0
"BIL","","Billings, MT","","MST","USA",0,0,45.8077,-108.543,0
"BIS","","Bismarck, ND","","CST","",0,0,46.7727,-100.746,0
"BMI","","Bloomington, IL","","CST","",0,0,40.4771,-88.9159,0
"BNA","","Nashville, TN","","CST","",0,0,36.1245,-86.6782,1
"BOI","","Boise, ID","Boise, ID","MST","US",0,0,43.5644,-116.223,0
"BON","","Bonaire","","AST","",0,0,0,0,0
"BOS","","Boston, MA","","EST","USA",0,0,42.363,-71.0064,1
"BRS","","Bristol, GB","","UCT","United Kingdom",0,0,0,0,0
"BTR","","Baton Rouge, LA","","CST","USA",0,0,0,0,0
"BTV","","Burlington, VT","","EST","USA",0,0,44.4719,-73.1533,0
"BUF","","Buffalo, NY","","EST","",0,0,42.9405,-78.7322,0
"BUR","","Burbank, CA","","PST","USA",0,0,34.2007,-118.359,0
"BWI","","Baltimore, MD","","EST","",0,0,39.1754,-76.6683,1
"BZE","","Belize City - Belize","","CST","Belize",0,0,0,0,0
"CAE","","Columbia, SC","","EST","USA",0,0,33.9388,-81.1195,0
"CAK","","Akron/Canton, OH","","EST","USA",0,0,40.9151,-81.4436,0
"CHA","","Chattanooga, TN","","EST","USA",0,0,35.0352,-85.2036,0
"CHI","ORD MDW","Chicago - All Airports","","CST","USA",0,0,0,0,0
"CHS","","Charleston, SC","","EST","USA",0,0,32.8986,-80.0405,0
"CID","","Cedar Rapids, IA","","CST","USA",0,0,41.8847,-91.7108,0
"CLE","","Cleveland, OH","","EST","",0,0,41.4094,-81.855,0
"CLT","","Charlotte, NC","","EST","USA",0,0,35.2137,-80.9491,1
"CMH","","Columbus, OH","","EST","",0,0,39.998,-82.8919,0
"COS","","Colorado Springs, CO","","MST","USA",0,0,0,0,0
"CPR","","Casper, WY","","MST","USA",0,0,42.908,-106.464,0
"CRP","","Corpus Christi, TX","","CST","USA",0,0,0,0,0
"CRW","","Charleston, WV","","EST","USA",0,0,38.3759,-81.593,0
"CTG","","Cartagena","","EST","Colombia",0,0,0,0,0
"CUN","","Cancun","","GMT","Mexico",0,0,0,0,0
"CUR","","Curacao","","America/Curacao","",0,0,0,0,0
"CVG","","Cincinnati, OH","","EST","USA",0,0,39.0488,-84.6678,0
"CYB","","Gerrard-Smith","","EST","",0,0,0,0,0
"CZM","","Cozumel","","CST","Mexico",0,0,0,0,0
"DAL","","Dallas Love Field, TX","","CST","USA",0,0,32.8471,-96.8518,0
"DAY","","Dayton, OH","","EST","USA",0,0,39.9023,-84.2194,0
"DCA","","Washington National, DC","","EST","",0,0,38.8521,-77.0377,1
"DEN","","Denver, CO","","MST","",0,0,39.8617,-104.673,1
"DFW","","Dallas/Ft. Worth, TX","","CST","USA",0,0,32.8968,-97.038,1
"DLH","","Duluth, MN","","EST","USA",0,0,46.8421,-92.1936,0
"DOM","","Melville Hall Airport","","GMT","Dominica",0,0,0,0,0
"DSM","","Des Moines, IA","","CST","",0,0,41.534,-93.6631,0
"DTW","","Detroit, MI","","EST","",0,0,42.2124,-83.3534,1
"ECP","","Panama City/Bay County, FL","","EST","USA",0,0,0,0,0
"EDI","","Edinburgh (Turnhouse), GB","","UCT","United Kingdom",0,0,0,0,0
"EIS","","Tortola BVI","","America/Virgin","",0,0,0,0,0
"ELP","","El Paso, TX","","MST","",0,0,31.8072,-106.378,0
"EUG","","Eugene, OR","","PST","USA",0,0,44.1246,-123.212,0
"EUX","","St. Eustatius","","AST","",0,0,0,0,0
"EWR","JFK LGA","Newark, NJ","[undefined]","EST","USA",0,0,40.6925,-74.1687,1
"FAI","","Fairbanks, AK","","AST","USA",0,0,64.8151,-147.856,0
"FAR","","Fargo, ND","","CST","USA",0,0,46.9207,-96.8158,0
